Community,evenness_simplified,Evenness distribution,Taxonomic distribution,Sequencing Depth (million reads),Pipeline,MAG ID,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,Strain heterogeneity,Original community?,Number of contigs,Contig size (bp),coverage,Relative abundance,species list,Special case?,original_comm,Mismatch
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.13,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,91.44,0,0,#N/A,33,1545994,10,0.00050865,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.22,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,91.44,0,0,#N/A,33,1545994,10,0.00050865,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.29,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,91.44,0,0,#N/A,33,1545994,10,0.00050865,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.9,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,91.44,0,0,#N/A,33,1545994,10,0.00050865,#N/A,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,DT,C.2.R.180-DT-bin.18,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,86.21,0.34,100,Pseudothermotoga thermarum,192,1954098,8,0.00052785,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.31,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,98.11,0,0,#N/A,33,1619362,10,0.00053276,#N/A,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella,Taylorella asinigenitalis,98.03,0,0,Taylorella asinigenitalis,20,1452209,12,0.00054144,Taylorella asinigenitalis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,DT,C.2.R.180-DT-bin.27,Bacteria,Verrucomicrobiota_A,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum,99.05,7.85,48.57,Chlamydia muridarum,95,1152460,14,0.00054379,Chlamydia muridarum,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Very closely related,60,DT,B.2.V.60-DT-bin.20,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,74.08,2.61,14.29,Wolinella succinogenes,716,1488444,3,0.00055057,Wolinella succinogenes,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.26,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella,Taylorella asinigenitalis,99.51,0,0,Taylorella asinigenitalis,25,1575065,12,0.00058777,Taylorella asinigenitalis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.36,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella,Taylorella asinigenitalis,99.51,0,0,Taylorella asinigenitalis,25,1575065,12,0.00058777,Taylorella asinigenitalis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.53,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella,Taylorella asinigenitalis,99.51,0,0,Taylorella asinigenitalis,25,1575065,12,0.00058777,Taylorella asinigenitalis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,DT,A.2.R.180-DT-bin.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella,Taylorella asinigenitalis,99.51,0.49,100,Taylorella asinigenitalis,25,1563132,12,0.00059631,Taylorella asinigenitalis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.14,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,75.31,1.47,50,Thermoproteus uzoniensis,249,1297799,5,0.00062648,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.19,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,75.31,1.47,50,Thermoproteus uzoniensis,249,1297799,5,0.00062648,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,75.31,1.47,50,Thermoproteus uzoniensis,249,1297799,5,0.00062648,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.11,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,78.25,1.47,50,Thermoproteus uzoniensis,254,1327372,5,0.00064044,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,DT,A.2.R.180-DT-bin.30,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,98.69,0,0,Archaeoglobus fulgidus,76,2112479,9,0.00064650,Archaeoglobus fulgidus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,60,DT,A.3.R.60-DT-bin.22,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,84.12,3.7,0,Archaeoglobus fulgidus,719,1674709,4,0.00066369,Archaeoglobus fulgidus,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Very closely related,60,DT,C.3.V.60-DT-bin.10,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,86.58,0.74,0,Thermoproteus uzoniensis,572,1601815,4,0.00067421,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Very closely related,60,MM,C.2.V.60-MM-bin.4,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borrelia,Borrelia anserina,82.73,3.04,14.29,Borrelia anserina,542,774457,10,0.00073842,Borrelia anserina,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,120,DT,A.2.R.120-DT-bin.23,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,99.54,0,0,Archaeoglobus fulgidus,178,2172145,7,0.00075741,Archaeoglobus fulgidus,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Closely related,60,DT,C.3.C.60-DT-bin.7,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,78.7,1.1,50,Vulcanisaeta moutnovskia,687,1744073,4,0.00078724,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,DT,A.2.R.180-DT-bin.26,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax mediterranei,79.62,1.93,28.57,Haloferax mediterranei,369,2636969,9,0.00079905,Haloferax mediterranei,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.14,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.06,0.77,50,Wolinella succinogenes,66,2019596,8,0.00080489,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.21,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.06,0.77,50,Wolinella succinogenes,66,2019596,8,0.00080489,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.30,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.06,0.77,50,Wolinella succinogenes,66,2019596,8,0.00080489,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.9,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.06,0.77,50,Wolinella succinogenes,66,2019596,8,0.00080489,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Closely related,60,DT,B.3.C.60-DT-bin.15,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,65.45,1.2,25,Halomicrobium mukohataei,969,1987435,4,0.00081193,Halomicrobium mukohataei,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,DT,B.2.R.120-DT-bin.21,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.06,0.77,50,Wolinella succinogenes,69,2046718,8,0.00081470,Wolinella succinogenes,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta distributa,71.3,0,0,Vulcanisaeta distributa,323,1705979,5,0.00082799,Vulcanisaeta distributa,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.10,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta distributa,71.3,0,0,Vulcanisaeta distributa,323,1705979,5,0.00082799,Vulcanisaeta distributa,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.26,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta distributa,71.3,0,0,Vulcanisaeta distributa,323,1705979,5,0.00082799,Vulcanisaeta distributa,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,8K,C.4.N.60-8K-bin.9,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta distributa,71.3,0,0,Vulcanisaeta distributa,323,1705979,5,0.00082799,Vulcanisaeta distributa,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Not closely related,60,DT,C.4.N.60-DT-bin.9,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,96.51,2.21,33.33,Thermoproteus uzoniensis,478,1762832,5,0.00084229,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,DT,A.3.V.60-DT-bin.22,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,73.6,1.05,0,Halogeometricum borinquense,843,1995199,4,0.00086106,Halogeometricum borinquense,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,MM,C.4.V.60-MM-bin.12,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borrelia,Borrelia anserina,92.56,5.56,25,Borrelia anserina,425,857432,11,0.00090487,Borrelia anserina,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,MM,C.4.V.60-MM-bin.16,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borrelia,Borrelia duttonii,88.9,4.98,33.33,Borrelia duttonii,438,860574,11,0.00091325,Borrelia duttonii,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Not closely related,60,8K,C.2.N.60-8K-bin.12,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,86.21,0,0,Thermoproteus uzoniensis,228,1656596,6,0.00094147,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Not closely related,60,8K,C.2.N.60-8K-bin.15,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,86.21,0,0,Thermoproteus uzoniensis,228,1656596,6,0.00094147,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Not closely related,60,8K,C.2.N.60-8K-bin.25,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,86.21,0,0,Thermoproteus uzoniensis,228,1656596,6,0.00094147,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Not closely related,60,8K,C.2.N.60-8K-bin.3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,86.21,0,0,Thermoproteus uzoniensis,228,1656596,6,0.00094147,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Closely related,60,MM,C.4.C.60-MM-bin.3,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borreliella,Borreliella chilensis,86.68,5.32,41.67,Borreliella chilensis,473,786217,13,0.00095078,Borreliella chilensis,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.7,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Micrococcaceae,Sinomonas,Sinomonas atrocyanea,92.13,3.43,35.29,Sinomonas atrocyanea,850,4116052,7,0.00095589,Sinomonas atrocyanea,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Closely related,60,MM,C.4.C.60-MM-bin.15,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borrelia,Borrelia duttonii,93.97,6.54,17.65,Borrelia duttonii,447,900635,11,0.00095728,Borrelia duttonii,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Not closely related,60,DT,C.2.N.60-DT-bin.21,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,89.34,0,0,Thermoproteus uzoniensis,236,1708323,6,0.00097040,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,30,8K,B.3.R.30-8K-bin.12,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,75.19,0.03,0,#N/A,178,962213,5,0.00097419,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,30,8K,B.3.R.30-8K-bin.23,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,75.19,0.03,0,#N/A,178,962213,5,0.00097419,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,30,8K,B.3.R.30-8K-bin.27,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,75.19,0.03,0,#N/A,178,962213,5,0.00097419,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,30,8K,B.3.R.30-8K-bin.31,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,75.19,0.03,0,#N/A,178,962213,5,0.00097419,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,DT,C.3.R.120-DT-bin.17,Bacteria,Verrucomicrobiota_A,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia suis,96.71,0.05,0,Chlamydia suis,66,1047741,19,0.00098451,Chlamydia suis,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,8K,B.2.R.60-8K-bin.3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,78.29,0.49,0,Riemerella anatipestifer,192,1651980,6,0.00099126,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,8K,B.2.R.60-8K-bin.33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,78.29,0.49,0,Riemerella anatipestifer,192,1651980,6,0.00099126,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,8K,B.2.R.60-8K-bin.38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,78.29,0.49,0,Riemerella anatipestifer,192,1651980,6,0.00099126,Riemerella anatipestifer,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay with abundance plateaus,Closely related,60,8K,A.4.C.60-8K-bin.29,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter_A,Celeribacter marinus,73.21,0.71,25,Celeribacter marinus,373,2078763,5,0.00104669,Celeribacter marinus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Closely related,60,MM,C.2.C.60-MM-bin.5,Bacteria,Spirochaetota,Spirochaetia,Borreliales,Borreliaceae,Borrelia,Borrelia duttonii,96.37,1.56,57.14,Borrelia duttonii,307,918335,12,0.00104975,Borrelia duttonii,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,120,DT,A.2.R.120-DT-bin.9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter indicus,85.76,4.06,9.09,Celeribacter indicus,1115,3922818,5,0.00105474,Celeribacter indicus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,60,8K,B.3.R.60-8K-bin.37,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,89,0,0,#N/A,96,1489207,7,0.00105635,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,60,8K,B.3.R.60-8K-bin.15,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,89.12,0,0,#N/A,97,1502394,7,0.00106603,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,60,8K,B.3.R.60-8K-bin.29,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,89.12,0,0,#N/A,97,1502394,7,0.00106603,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,60,8K,B.3.R.60-8K-bin.31,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,89.12,0,0,#N/A,97,1502394,7,0.00106603,#N/A,#N/A,#N/A,#N/A
